segment,measure,start_beat,duration,chord,roman,function,melody_compatibility,functional_transition,persistence,cadence,local_score,path_score,alternatives
0,1,1,3/2,F,I,tonic,1.0,0.5,0.5,0.0,0.675,0.675,"[{""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.675, ""path_score"": 0.675}, {""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.675, ""path_score"": 0.675}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.675, ""path_score"": 0.675}]"
1,1,5/2,3/2,F,I,tonic,0.9576923076923078,0.65,1.0,0.0,0.7413461538461539,1.416346153846154,"[{""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.7413461538461539, ""path_score"": 1.416346153846154}, {""chord"": ""Am"", ""roman"": ""iii"", ""local_score"": 0.696346153846154, ""path_score"": 1.371346153846154}, {""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.5511538461538462, ""path_score"": 1.2261538461538461}]"
2,1,4,3/2,F,I,tonic,1.0,0.65,1.0,0.0,0.7625,2.1788461538461537,"[{""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.78, ""path_score"": 2.1963461538461537}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.78, ""path_score"": 2.1963461538461537}, {""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.7625, ""path_score"": 2.1788461538461537}]"
3,1,11/2,3/2,F,I,tonic,0.0,0.65,1.0,0.0,0.2625,2.441346153846154,"[{""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.2625, ""path_score"": 2.441346153846154}, {""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.23750000000000002, ""path_score"": 2.4338461538461535}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.23750000000000002, ""path_score"": 2.4338461538461535}]"
4,2,1,3/2,F,I,tonic,1.0,0.65,1.0,0.0,0.7625,3.203846153846154,"[{""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.78, ""path_score"": 3.221346153846154}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.78, ""path_score"": 3.221346153846154}, {""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.7625, ""path_score"": 3.203846153846154}]"
5,2,5/2,3/2,F,I,tonic,0.9576923076923078,0.65,1.0,0.0,0.7413461538461539,3.9451923076923077,"[{""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.7413461538461539, ""path_score"": 3.9451923076923077}, {""chord"": ""Am"", ""roman"": ""iii"", ""local_score"": 0.696346153846154, ""path_score"": 3.9001923076923077}, {""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.5511538461538462, ""path_score"": 3.7725000000000004}]"
6,2,4,3/2,C,V,dominant,1.0,0.8,0.55,0.0,0.755,4.700192307692308,"[{""chord"": ""Gm"", ""roman"": ""ii"", ""local_score"": 0.78, ""path_score"": 4.725192307692308}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.78, ""path_score"": 4.725192307692308}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.755, ""path_score"": 4.700192307692308}]"
7,2,11/2,3/2,C,V,dominant,0.0,0.55,1.0,0.0,0.23750000000000002,4.937692307692307,"[{""chord"": ""Gm"", ""roman"": ""ii"", ""local_score"": 0.23750000000000002, ""path_score"": 4.962692307692308}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.23750000000000002, ""path_score"": 4.962692307692308}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.23750000000000002, ""path_score"": 4.937692307692307}]"
8,3,1,3/2,F,I,tonic,1.0,1.0,0.55,0.0,0.805,5.742692307692307,"[{""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.805, ""path_score"": 5.742692307692307}, {""chord"": ""Am"", ""roman"": ""iii"", ""local_score"": 0.805, ""path_score"": 5.742692307692307}, {""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.53, ""path_score"": 5.492692307692308}]"
9,3,5/2,3/2,F,I,tonic,0.9576923076923078,0.65,1.0,0.0,0.7413461538461539,6.484038461538461,"[{""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.7413461538461539, ""path_score"": 6.484038461538461}, {""chord"": ""Am"", ""roman"": ""iii"", ""local_score"": 0.7413461538461539, ""path_score"": 6.484038461538461}, {""chord"": ""Gm"", ""roman"": ""ii"", ""local_score"": 0.5261538461538462, ""path_score"": 6.2688461538461535}]"
10,3,4,3/2,F,I,tonic,1.0,0.65,1.0,0.0,0.7625,7.246538461538461,"[{""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.78, ""path_score"": 7.264038461538461}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.78, ""path_score"": 7.264038461538461}, {""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.7625, ""path_score"": 7.246538461538461}]"
11,3,11/2,3/2,F,I,tonic,0.0,0.65,1.0,0.0,0.2625,7.509038461538461,"[{""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.2625, ""path_score"": 7.509038461538461}, {""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.23750000000000002, ""path_score"": 7.501538461538461}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.23750000000000002, ""path_score"": 7.501538461538461}]"
12,4,1,3/2,F,I,tonic,1.0,0.65,1.0,0.0,0.7625,8.27153846153846,"[{""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.78, ""path_score"": 8.28903846153846}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.78, ""path_score"": 8.28903846153846}, {""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.7625, ""path_score"": 8.27153846153846}]"
13,4,5/2,3/2,F,I,tonic,1.0,0.65,1.0,0.0,0.7625,9.03403846153846,"[{""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.7625, ""path_score"": 9.03403846153846}, {""chord"": ""Am"", ""roman"": ""iii"", ""local_score"": 0.7175, ""path_score"": 8.98903846153846}, {""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.53, ""path_score"": 8.81903846153846}]"
14,4,4,3/2,C,V,dominant,1.0,0.8,0.55,0.0,0.755,9.78903846153846,"[{""chord"": ""Gm"", ""roman"": ""ii"", ""local_score"": 0.78, ""path_score"": 9.814038461538459}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.78, ""path_score"": 9.814038461538459}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.755, ""path_score"": 9.78903846153846}]"
15,4,11/2,3/2,C,V,dominant,0.0,0.55,1.0,0.0,0.23750000000000002,10.026538461538461,"[{""chord"": ""Gm"", ""roman"": ""ii"", ""local_score"": 0.23750000000000002, ""path_score"": 10.05153846153846}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.23750000000000002, ""path_score"": 10.05153846153846}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.23750000000000002, ""path_score"": 10.026538461538461}]"
16,5,1,3/2,F,I,tonic,1.0,1.0,0.55,0.0,0.805,10.831538461538461,"[{""chord"": ""Am"", ""roman"": ""iii"", ""local_score"": 0.805, ""path_score"": 10.831538461538461}, {""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.7657142857142857, ""path_score"": 10.817252747252745}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.7657142857142857, ""path_score"": 10.817252747252745}]"
17,5,5/2,3/2,C,V,dominant,0.9620689655172415,0.8,0.55,0.0,0.7360344827586208,11.567572944297082,"[{""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.78, ""path_score"": 11.61153846153846}, {""chord"": ""Gm"", ""roman"": ""ii"", ""local_score"": 0.7610344827586208, ""path_score"": 11.592572944297082}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.7360344827586208, ""path_score"": 11.567572944297082}]"
18,5,4,3/2,F,I,tonic,1.0,1.0,0.55,0.0,0.805,12.372572944297081,"[{""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.805, ""path_score"": 12.372572944297081}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.7374999999999999, ""path_score"": 12.349038461538461}, {""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.6925, ""path_score"": 12.304038461538461}]"
19,5,11/2,3/2,F,I,tonic,0.0,0.65,1.0,0.0,0.2625,12.63507294429708,"[{""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.2625, ""path_score"": 12.63507294429708}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.23750000000000002, ""path_score"": 12.586538461538462}, {""chord"": ""B-"", ""roman"": ""IV"", ""local_score"": 0.23750000000000002, ""path_score"": 12.541538461538462}]"
20,6,1,3/2,B-,IV,predominant,1.0,0.9,0.55,0.0,0.78,13.41507294429708,"[{""chord"": ""Gm"", ""roman"": ""ii"", ""local_score"": 0.78, ""path_score"": 13.41507294429708}, {""chord"": ""Gm7"", ""roman"": ""ii7"", ""local_score"": 0.78, ""path_score"": 13.41507294429708}, {""chord"": ""Dm"", ""roman"": ""vi"", ""local_score"": 0.7625, ""path_score"": 13.39757294429708}]"
21,6,5/2,3/2,Edim,vii°,dominant,1.0,1.0,0.55,0.0,0.805,14.22007294429708,"[{""chord"": ""Edim7"", ""roman"": ""viiø7"", ""local_score"": 0.805, ""path_score"": 14.22007294429708}, {""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.7744444444444444, ""path_score"": 14.189517388741525}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.7744444444444444, ""path_score"": 14.189517388741525}]"
22,6,4,3/2,Edim,vii°,dominant,0.0,0.55,1.0,0.0,0.23750000000000002,14.45757294429708,"[{""chord"": ""Edim7"", ""roman"": ""viiø7"", ""local_score"": 0.23750000000000002, ""path_score"": 14.45757294429708}, {""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.23750000000000002, ""path_score"": 14.427017388741525}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.23750000000000002, ""path_score"": 14.427017388741525}]"
23,6,11/2,3/2,Edim,vii°,dominant,0.0,0.55,1.0,0.0,0.23750000000000002,14.695072944297081,"[{""chord"": ""Edim7"", ""roman"": ""viiø7"", ""local_score"": 0.23750000000000002, ""path_score"": 14.695072944297081}, {""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.23750000000000002, ""path_score"": 14.664517388741526}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.23750000000000002, ""path_score"": 14.664517388741526}]"
24,7,1,3/2,F,I,tonic,1.0,1.0,0.55,0.0,0.805,15.50007294429708,"[{""chord"": ""Am"", ""roman"": ""iii"", ""local_score"": 0.805, ""path_score"": 15.50007294429708}, {""chord"": ""C"", ""roman"": ""V"", ""local_score"": 0.805, ""path_score"": 15.45757294429708}, {""chord"": ""C7"", ""roman"": ""V7"", ""local_score"": 0.805, ""path_score"": 15.45757294429708}]"
