file,num_measures,beats_per_measure,num_beats,num_harmony_events,num_harmonic_segments,chord_density_per_measure,avg_chord_duration_beats,redundancy_ratio,avg_bass_jump_semitones,segment_length_std
Autumn-Leaves_harmonized-optimizer.musicxml,28,4,112,71,66,2.3571,1.697,1.697,1.0,1.0373
Autumn-Leaves_harmonized.musicxml,28,4,112,112,42,1.5,2.6667,2.6667,4.0,2.0202
Country_Roads_harmonized-optimizer.musicxml,32,4,128,80,73,2.2812,1.7534,1.7534,1.2778,1.4219
Country_Roads_harmonized.musicxml,32,4,128,128,43,1.3438,2.9767,2.9767,3.2857,2.4348
Folsom_Prison_Blues_harmonized-optimizer.musicxml,24,4,96,57,51,2.125,1.8824,1.8824,1.1,1.4919
Folsom_Prison_Blues_harmonized.musicxml,24,4,96,96,29,1.2083,3.3103,3.3103,3.3571,3.0012
It-s-a-Long-Way-to-Tipperary_harmonized-optimizer.musicxml,17,4,68,40,37,2.1765,1.8378,1.8378,1.4167,1.3847
It-s-a-Long-Way-to-Tipperary_harmonized.musicxml,17,4,68,68,29,1.7059,2.3448,2.3448,3.3571,1.6097
Ovcaci-Ctveraci_harmonized-optimizer.musicxml,8,4,32,18,17,2.125,1.8824,1.8824,1.5,1.0537
Ovcaci-Ctveraci_harmonized.musicxml,8,4,32,32,13,1.625,2.4615,2.4615,3.6667,1.2659
Quantum-song-III_harmonized-optimizer.musicxml,10,4,40,33,32,3.2,1.25,1.25,1.0968,0.4399
Quantum-song-III_harmonized.musicxml,10,4,40,40,20,2.0,2.0,2.0,3.6842,1.214
Quantum-song-II_harmonized-optimizer.musicxml,16,4,64,45,41,2.5625,1.561,1.561,1.225,0.7762
Quantum-song-II_harmonized.musicxml,16,4,64,64,28,1.75,2.2857,2.2857,3.7037,1.5119
Quantum-song-IV_harmonized-optimizer.musicxml,9,4,36,21,18,2.0,2.0,2.0,0.8824,2.1144
Quantum-song-IV_harmonized.musicxml,9,4,36,36,18,2.0,2.0,2.0,3.5882,1.4142
Quantum-song-I_harmonized-optimizer.musicxml,9,4,36,17,14,1.5556,2.5714,2.5714,1.2308,1.6968
Quantum-song-I_harmonized.musicxml,9,4,36,36,13,1.4444,2.7692,2.7692,3.5,2.0064
Quantum-song-V_harmonized-optimizer.musicxml,13,4,52,32,30,2.3077,1.7333,1.7333,1.3793,1.0807
Quantum-song-V_harmonized.musicxml,13,4,52,52,20,1.5385,2.6,2.6,4.2105,1.9841
fly-me-to-the-moon-frank-sinatra_harmonized-optimizer.musicxml,40,4,160,104,90,2.25,1.7778,1.7778,1.3483,1.9301
fly-me-to-the-moon-frank-sinatra_harmonized.musicxml,40,4,160,160,56,1.4,2.8571,2.8571,3.5636,5.2895
