file,num_measures,beats_per_measure,num_beats,num_harmony_events,num_harmonic_segments,chord_density_per_measure,avg_chord_duration_beats,redundancy_ratio,avg_bass_jump_semitones,segment_length_std,reference_file,reference_found,reference_num_harmony_events,reference_num_harmonic_segments,exact_chord_match_ratio,functional_agreement_ratio,harmonic_similarity_ratio,final_function_match
Autumn-Leaves_harmonized-optimizer.musicxml,28,4,112,71,66,2.3571,1.697,1.697,1.0,1.0373,Autumn-Leaves.xml,1,24,24,0.0179,0.3839,0.3513,1.0
Autumn-Leaves_harmonized.musicxml,28,4,112,112,42,1.5,2.6667,2.6667,4.0,2.0202,Autumn-Leaves.xml,1,24,24,0.0179,0.375,0.3726,1.0
Country_Roads_harmonized-optimizer.musicxml,32,4,128,80,73,2.2812,1.7534,1.7534,1.2778,1.4219,Country_Roads.musicxml,1,18,16,0.0469,0.5469,0.4828,1.0
Country_Roads_harmonized.musicxml,32,4,128,128,43,1.3438,2.9767,2.9767,3.2857,2.4348,Country_Roads.musicxml,1,18,16,0.0,0.6094,0.5156,1.0
Folsom_Prison_Blues_harmonized-optimizer.musicxml,24,4,96,57,51,2.125,1.8824,1.8824,1.1,1.4919,Folsom_Prison_Blues.musicxml,1,12,10,0.0521,0.5625,0.45,1.0
Folsom_Prison_Blues_harmonized.musicxml,24,4,96,96,29,1.2083,3.3103,3.3103,3.3571,3.0012,Folsom_Prison_Blues.musicxml,1,12,10,0.0,0.5833,0.4528,1.0
It-s-a-Long-Way-to-Tipperary_harmonized-optimizer.musicxml,17,4,68,40,37,2.1765,1.8378,1.8378,1.4167,1.3847,It-s-a-Long-Way-to-Tipperary.xml,1,23,23,0.0147,0.6912,0.4847,1.0
It-s-a-Long-Way-to-Tipperary_harmonized.musicxml,17,4,68,68,29,1.7059,2.3448,2.3448,3.3571,1.6097,It-s-a-Long-Way-to-Tipperary.xml,1,23,23,0.0,0.6324,0.4736,1.0
Ovcaci-Ctveraci_harmonized-optimizer.musicxml,8,4,32,18,17,2.125,1.8824,1.8824,1.5,1.0537,Ovcaci-Ctveraci.xml,1,15,13,0.0625,0.8125,0.5656,1.0
Ovcaci-Ctveraci_harmonized.musicxml,8,4,32,32,13,1.625,2.4615,2.4615,3.6667,1.2659,Ovcaci-Ctveraci.xml,1,15,13,0.0312,0.7812,0.5594,1.0
Quantum-song-III_harmonized-optimizer.musicxml,10,4,40,33,32,3.2,1.25,1.25,1.0968,0.4399,Quantum-song-III.xml,1,10,9,0.1,0.65,0.515,1.0
Quantum-song-III_harmonized.musicxml,10,4,40,40,20,2.0,2.0,2.0,3.6842,1.214,Quantum-song-III.xml,1,10,9,0.15,0.625,0.6015,1.0
Quantum-song-II_harmonized-optimizer.musicxml,16,4,64,45,41,2.5625,1.561,1.561,1.225,0.7762,Quantum-song-II.xml,1,19,19,0.1094,0.7969,0.6367,1.0
Quantum-song-II_harmonized.musicxml,16,4,64,64,28,1.75,2.2857,2.2857,3.7037,1.5119,Quantum-song-II.xml,1,19,19,0.0312,0.75,0.6365,1.0
Quantum-song-IV_harmonized-optimizer.musicxml,9,4,36,21,18,2.0,2.0,2.0,0.8824,2.1144,Quantum-song-IV.xml,1,14,12,0.0278,0.4722,0.5218,1.0
Quantum-song-IV_harmonized.musicxml,9,4,36,36,18,2.0,2.0,2.0,3.5882,1.4142,Quantum-song-IV.xml,1,14,12,0.0,0.4444,0.5085,1.0
Quantum-song-I_harmonized-optimizer.musicxml,9,4,36,17,14,1.5556,2.5714,2.5714,1.2308,1.6968,Quantum-song-I.xml,1,11,9,0.0,0.5833,0.6181,1.0
Quantum-song-I_harmonized.musicxml,9,4,36,36,13,1.4444,2.7692,2.7692,3.5,2.0064,Quantum-song-I.xml,1,11,9,0.0,0.5556,0.6431,1.0
Quantum-song-V_harmonized-optimizer.musicxml,13,4,52,32,30,2.3077,1.7333,1.7333,1.3793,1.0807,Quantum-song-V.xml,1,25,25,0.0385,0.6154,0.5452,1.0
Quantum-song-V_harmonized.musicxml,13,4,52,52,20,1.5385,2.6,2.6,4.2105,1.9841,Quantum-song-V.xml,1,25,25,0.0,0.7308,0.5833,1.0
fly-me-to-the-moon-frank-sinatra_harmonized-optimizer.musicxml,40,4,160,104,90,2.25,1.7778,1.7778,1.3483,1.9301,fly-me-to-the-moon-frank-sinatra.xml,1,45,44,0.0063,0.2625,0.2268,0.0
fly-me-to-the-moon-frank-sinatra_harmonized.musicxml,40,4,160,160,56,1.4,2.8571,2.8571,3.5636,5.2895,fly-me-to-the-moon-frank-sinatra.xml,1,45,44,0.0063,0.2875,0.2519,0.0
